Movie,Budget_(USD),Gross_(USD)
Avatar,425000000,760507625
Avengers: Age of Ultron,330600000,459005868
Star Wars Ep. VII: The Force Awakens,306000000,936662225
Avengers: Infinity War,300000000,678216107
Justice League,300000000,229024295
Spectre,300000000,200074175
Captain America: Civil War,250000000,408084349
Batman v Superman: Dawn of Justice,250000000,330360194
Harry Potter and the Half-Blood Prince,250000000,301959197
The Fate of the Furious,250000000,225764765
Solo: A Star Wars Story,250000000,213154445
Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876
Transformers: The Last Knight,217000000,130168683
Jurassic World,215000000,652270625
Men in Black 3,215000000,179020854
Black Panther,200000000,700059566
Titanic,200000000,659363944
Incredibles 2,200000000,586342600
Rogue One: A Star Wars Story,200000000,532177324
Finding Dory,200000000,486295561
